,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
5584,7.44,8754,1859.0,3022,15503,3,106.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1
5589,7.24,4095,2637.0,3748,9558,24,96.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5590,8.06,9278,472.0,2943,16465,30,77.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
5591,7.27,1718,2535.0,5463,3745,9,70.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
5604,6.56,147,5372.0,8981,684,0,67.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
5610,7.08,41599,3259.0,1223,66662,21,45.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
5613,6.85,13174,4121.0,2458,23359,8,96.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
5623,7.91,5763,683.0,3353,12529,36,62.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
5625,6.37,222,6114.0,8815,748,0,52.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5629,6.88,4398,4002.0,3199,13933,22,84.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
5634,7.21,91370,2763.0,574,144391,857,52.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
5638,7.91,1700,691.0,4662,5622,16,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5652,7.63,63052,1268.0,803,107910,380,86.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1
5656,5.61,18852,8174.0,1929,35136,36,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5666,7.58,4095,1406.0,3508,11210,20,50.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5684,8.2,64580,316.0,752,115143,962,126.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
5688,7.95,3942,619.0,4065,7864,46,69.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
5719,6.53,767,5447.0,7300,1621,5,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
