,episodes,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
3250,6,7.04,9280,,2682,19810,317,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3251,13,7.66,4979,1206.0,3119,14540,321,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3253,2,5.55,1071,,6046,2892,9,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3254,13,7.49,10176,1676.0,2381,24642,312,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3257,2,7.31,14009,,2366,24873,358,54.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
3262,11,7.38,101968,2101.0,386,195728,1055,22.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3264,2,7.81,6747,865.0,3339,12673,46,37.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
3266,3,8.15,26863,366.0,1467,53441,180,23.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
3267,24,6.82,463,4295.0,7119,1778,8,16.0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1
3268,20,7.81,287416,862.0,78,510176,7773,24.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3269,5,7.99,32017,573.0,1173,69966,168,24.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
3270,26,7.22,5407,2745.0,3365,12432,74,24.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
3271,12,7.98,15237,581.0,1843,37648,239,23.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1
3272,26,7.35,29009,2242.0,1095,75446,284,24.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3274,6,6.73,3205,4639.0,4073,7841,45,30.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0
3275,12,8.05,116902,486.0,290,241830,1825,23.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
3276,12,7.62,91227,1307.0,446,178339,974,24.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3277,2,5.97,1258,,5894,3089,7,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3279,12,6.68,1093,4846.0,5340,3948,7,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3280,2,6.75,1191,,5678,3411,15,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3283,12,7.56,1850,1454.0,2930,16613,22,23.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3284,15,7.58,9294,1403.0,2499,22682,270,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
3288,109,7.96,18377,600.0,1324,61368,1459,25.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
3289,4,6.53,824,5497.0,6060,2878,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
3291,13,7.2,3734,2825.0,4382,6493,11,30.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
3293,12,7.61,16282,1326.0,1738,41371,470,24.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3294,24,6.52,425,5510.0,5904,3074,5,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3296,13,8.59,111769,73.0,157,346230,6071,23.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
3297,12,7.57,45874,1431.0,965,87878,231,24.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
3298,26,7.5,31206,1644.0,1046,79101,841,23.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
3300,12,7.31,87063,2379.0,428,182512,618,24.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3302,5,4.89,245,9131.0,8748,776,1,35.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
3303,12,7.89,112699,710.0,270,254730,2388,24.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
3305,29,7.6,11642,1353.0,2536,21960,129,24.0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0
3306,2,5.76,1254,7879.0,6117,2806,4,39.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
3308,12,6.3,121,6391.0,8145,1076,2,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
3309,12,5.71,2092,7968.0,4689,5536,9,2.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
3310,12,7.35,17093,2252.0,1883,36570,125,24.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
3312,12,6.63,12694,5093.0,2096,30378,55,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3313,3,6.65,114,4975.0,9363,545,1,30.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
3315,2,7.06,1741,,5061,4552,12,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3316,7,6.78,22750,4391.0,1637,45172,29,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
3317,2,7.37,27220,2161.0,1604,46856,89,25.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
3318,25,7.38,8765,2125.0,2347,25247,38,25.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3320,3,8.15,8292,364.0,1210,67254,118,25.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
3321,13,7.3,64093,2446.0,652,128961,1638,25.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3322,2,6.95,2064,,5045,4587,17,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3323,12,6.97,13299,3695.0,2149,29223,69,11.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3325,26,7.52,4014,1576.0,4112,7669,51,22.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
3327,26,7.19,1554,2870.0,5334,3949,7,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3328,9,7.26,3592,2562.0,4183,7378,8,24.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
3330,12,8.13,73814,391.0,602,138158,1001,24.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3331,2,5.9,4427,,3936,8462,7,15.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
3332,12,7.14,37592,3033.0,882,98676,1123,24.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
3334,13,7.16,6395,2959.0,3370,12331,58,25.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
3335,2,6.17,1153,6882.0,6539,2325,12,3.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
3336,26,7.31,4736,2384.0,3806,9217,196,24.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
3337,25,6.7,3799,4750.0,3269,13289,24,25.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
3338,13,7.95,34565,622.0,860,101554,1075,24.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
3341,12,7.07,4963,3322.0,3016,15545,40,23.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3342,13,6.83,42737,4201.0,924,92293,185,24.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3343,25,6.45,2185,5787.0,4074,7839,12,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3344,2,6.6,2391,5223.0,4524,6025,2,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
3345,51,6.59,323,5247.0,7314,1615,2,24.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3353,2,7.5,8433,1622.0,3069,14989,65,24.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
